order_id,order_date,customer_id,product_id,quantity,customer_name,email,phone_number,address_line_1,city,country,postcode,loyalty_card,PhoneNumberValid,coffee_type,roast_type,size,unit_price,price_per_100g,profit,day,month_name,year
ALP-37623-536,2020-07-03,24689-69376-XX,L-L-1,6,Charmane Denys,cdenysi1@is.gd,+44 (341) 297-2539,480 Shopko Street,Carlton,UK,DL8,No,True,Lib,L,1.0,15.85,1.585,2.0605,Friday,July,2020
ALR-62963-723,2020-06-21,80463-43913-WZ,R-D-0.2,3,Malynda Purbrick,No email,+353 (160) 183-4278,9233 3rd Avenue,Balally,IR,D04,Yes,True,Rob,D,0.2,2.685,1.3425,0.1611,Sunday,June,2020
AMB-93600-000,2019-05-14,64435-53100-WM,A-L-2.5,1,Tomasina Cotmore,tcotmore9y@amazonaws.com,+1 (571) 250-3012,2146 Helena Court,Reston,US,22096,No,True,Ara,L,2.5,29.785,1.1914,2.68065,Tuesday,May,2019
AMM-79521-378,2021-06-01,24825-51803-CQ,A-D-0.5,6,Faber Eilhart,feilhartz@who.int,+1 (304) 510-6095,6966 Victoria Street,Charleston,US,25362,No,True,Ara,D,0.5,5.97,1.194,0.5373,Tuesday,June,2021
AMT-40418-362,2020-08-08,04513-76520-QO,L-D-1,1,Jacinthe Balsillie,jbalsillie46@princeton.edu,+1 (540) 905-2213,2 Heffernan Center,Roanoke,US,24040,Yes,True,Lib,D,1.0,12.95,1.295,1.6835,Saturday,August,2020
ANK-59436-446,2022-01-17,17488-65879-XL,E-L-0.5,4,Eal D'Ambrogio,edambrogiohn@techcrunch.com,+1 (816) 196-1729,32 Darwin Court,Lees Summit,US,64082,Yes,True,Exc,L,0.5,8.91,1.782,0.9801,Monday,January,2022
ANM-16388-634,2021-11-19,77343-52608-FF,L-L-0.2,2,Nat Saleway,nsaleway1v@dedecms.com,+1 (323) 473-0294,0780 Anthes Plaza,Burbank,US,91505,No,True,Lib,L,0.2,4.755,2.3775,0.61815,Friday,November,2021
AOL-13866-711,2019-02-14,83490-88357-LJ,E-M-1,4,Eustace Stenton,estentonms@google.it,+1 (512) 819-1430,8472 Graedel Circle,Austin,US,78764,Yes,True,Exc,M,1.0,13.75,1.375,1.5125,Thursday,February,2019
AOT-70449-651,2022-06-11,53414-73391-CR,R-D-2.5,5,Cindra Burling,No email,+1 (518) 562-5402,5461 Anniversary Crossing,Schenectady,US,12305,Yes,True,Rob,D,2.5,20.585,0.8234,1.2351,Saturday,June,2022
AOX-44467-109,2021-06-15,72524-06410-KD,A-D-2.5,1,Haslett Jodrelle,hjodrellelt@samsung.com,+1 (305) 334-0992,9 Macpherson Avenue,Miami,US,33175,No,True,Ara,D,2.5,22.885,0.9154,2.05965,Tuesday,June,2021
ASG-27179-958,2021-12-10,12607-75113-UV,A-M-0.5,3,Jule Deehan,jdeehanlk@about.me,+1 (972) 327-1194,11217 Maywood Terrace,Dallas,US,75216,No,True,Ara,M,0.5,6.75,1.35,0.6075,Friday,December,2021
ASS-05878-128,2020-10-10,66580-33745-OQ,E-L-0.5,2,Shelley Gehring,sgehringjl@gnu.org,+1 (864) 940-7075,663 Westend Hill,Spartanburg,US,29305,No,True,Exc,L,0.5,8.91,1.782,0.9801,Saturday,October,2020
ATY-28980-884,2020-07-31,50705-17295-NK,A-L-0.2,6,Cristina Aleixo,caleixok5@globo.com,+1 (719) 241-4639,9 Lindbergh Center,Colorado Springs,US,80935,No,True,Ara,L,0.2,3.885,1.9425,0.34965,Friday,July,2020
AUP-10128-606,2020-10-01,54387-64897-XC,A-M-0.5,1,Fransisco Malecky,fmalecky5t@list-manage.com,+44 (738) 660-4264,11 Dakota Lane,Whitwell,UK,DL10,No,True,Ara,M,0.5,6.75,1.35,0.6075,Thursday,October,2020
AVH-56062-335,2021-11-21,18082-74419-QH,E-M-0.5,5,Miran Doidge,mdoidgenb@etsy.com,+1 (831) 955-4716,94 Del Mar Lane,Salinas,US,93907,No,True,Exc,M,0.5,8.25,1.65,0.9075,Sunday,November,2021
AVK-76526-953,2021-03-04,47268-50127-XY,A-D-1,2,Lynnea Danton,ldantonnp@miitbeian.gov.cn,No phone number,111 Mosinee Alley,El Paso,US,88546,No,False,Ara,D,1.0,9.95,0.995,0.8955,Thursday,March,2021
AWH-16980-469,2020-05-11,27493-46921-TZ,L-M-0.2,6,Fanny Flanagan,fflanagand9@woothemes.com,+1 (903) 455-7155,268 Northport Drive,Tyler,US,75799,No,True,Lib,M,0.2,4.365,2.1825,0.56745,Monday,May,2020
AWP-11469-510,2020-04-11,76730-63769-ND,E-D-1,2,Ryann Stickler,rsticklerox@printfriendly.com,+44 (830) 367-6129,471 Sage Center,Birmingham,UK,B40,No,True,Exc,D,1.0,12.15,1.215,1.3365,Saturday,April,2020
AWT-22827-563,2020-01-25,12018-75670-EU,R-L-0.2,1,Melania Beadle,No email,+353 (569) 458-9673,4418 Quincy Terrace,Moycullen,IR,A41,Yes,True,Rob,L,0.2,3.585,1.7925,0.2151,Saturday,January,2020
AXN-57779-891,2019-07-14,09668-23340-IC,R-M-0.2,3,Donavon Fowle,dfowlegr@epa.gov,No phone number,1 Mockingbird Trail,Colorado Springs,US,80945,No,False,Rob,M,0.2,2.985,1.4925,0.1791,Sunday,July,2019
AXR-10962-010,2021-03-28,53683-35977-KI,E-D-1,2,Myles Seawright,mseawright7e@nbcnews.com,+44 (638) 528-2467,5021 Summit Drive,Newton,UK,NG34,No,True,Exc,D,1.0,12.15,1.215,1.3365,Sunday,March,2021
AYY-83051-752,2019-01-22,46431-09298-OU,L-L-1,6,Carolee Winchcombe,cwinchcombeho@jiathis.com,+1 (501) 772-4397,687 Bluestem Point,Little Rock,US,72209,Yes,True,Lib,L,1.0,15.85,1.585,2.0605,Tuesday,January,2019
AZF-45991-584,2019-10-12,73759-17258-KA,A-D-2.5,1,Lora Dukes,No email,+353 (963) 987-6580,4 Lakewood Gardens Lane,Boyle,IR,F52,Yes,True,Ara,D,2.5,22.885,0.9154,2.05965,Saturday,October,2019
BAF-42286-205,2022-06-08,43074-00987-PB,R-M-2.5,4,Oran Colbeck,ocolbeck4t@sina.com.cn,+1 (334) 441-4420,8984 Moulton Hill,Montgomery,US,36195,No,True,Rob,M,2.5,22.885,0.9154,1.3731,Wednesday,June,2022
BAQ-74241-156,2020-07-24,99869-55718-UU,R-D-0.2,4,Ransell McKall,rmckallct@sakura.ne.jp,+44 (841) 988-2775,451 Nevada Terrace,Bristol,UK,BS41,Yes,True,Rob,D,0.2,2.685,1.3425,0.1611,Friday,July,2020
BDM-03174-485,2019-03-16,29581-13303-VB,R-L-0.5,4,Wright Caldero,wcalderom3@stumbleupon.com,+1 (714) 117-5483,5933 Graceland Way,Anaheim,US,92825,No,True,Rob,L,0.5,7.17,1.434,0.4302,Saturday,March,2019
BGB-67996-089,2022-01-30,06279-72603-JE,R-D-1,5,Rana Sharer,rsharerer@flavors.me,+1 (304) 632-1951,0 Granby Parkway,Huntington,US,25705,No,True,Rob,D,1.0,8.95,0.895,0.537,Sunday,January,2022
BHA-47429-889,2020-06-20,51114-51191-EW,E-L-0.2,3,Kienan Ferson,kfersonon@g.co,+1 (251) 291-1195,72997 Annamark Plaza,Mobile,US,36689,No,True,Exc,L,0.2,4.455,2.2275,0.49005,Saturday,June,2020
BIU-21970-705,2020-12-07,89711-56688-GG,R-M-2.5,2,Friederike Drysdale,fdrysdale6m@symantec.com,+1 (989) 215-5282,0229 Hovde Hill,Midland,US,48670,Yes,True,Rob,M,2.5,22.885,0.9154,1.3731,Monday,December,2020
BKK-47233-845,2021-03-08,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,+1 (408) 383-5302,68 High Crossing Court,San Jose,US,95160,No,True,Ara,D,1.0,9.95,0.995,0.8955,Monday,March,2021
BLD-12227-251,2021-03-04,64395-74865-WF,A-M-0.5,2,Ilysa Whapple,iwhapple2p@com.com,+1 (559) 522-1152,41598 Everett Drive,Fresno,US,93726,No,True,Ara,M,0.5,6.75,1.35,0.6075,Thursday,March,2021
BLI-21697-702,2019-12-05,21141-12455-VB,A-M-0.5,2,Shelli De Banke,sdejo@newsvine.com,+1 (314) 496-2561,290 Ridgeview Way,Saint Louis,US,63169,Yes,True,Ara,M,0.5,6.75,1.35,0.6075,Thursday,December,2019
BLQ-03709-265,2022-08-04,72463-75685-MV,R-L-0.2,3,Charis Crosier,ccrosier63@xrea.com,+1 (816) 578-2743,54506 Arapahoe Center,Lees Summit,US,64082,No,True,Rob,L,0.2,3.585,1.7925,0.2151,Thursday,August,2022
BLQ-03709-265,2022-08-04,72463-75685-MV,R-M-0.2,5,Charis Crosier,ccrosier63@xrea.com,+1 (816) 578-2743,54506 Arapahoe Center,Lees Summit,US,64082,No,True,Rob,M,0.2,2.985,1.4925,0.1791,Thursday,August,2022
BLV-60087-454,2022-06-08,84493-71314-WX,A-M-0.5,5,Tymon Zanetti,tzanettig2@gravatar.com,+353 (351) 897-2630,561 Cherokee Trail,Loughrea,IR,H62,No,True,Ara,M,0.5,6.75,1.35,0.6075,Wednesday,June,2022
BLV-60087-454,2022-06-08,84493-71314-WX,E-L-0.2,3,Tymon Zanetti,tzanettig2@gravatar.com,+353 (351) 897-2630,561 Cherokee Trail,Loughrea,IR,H62,No,True,Exc,L,0.2,4.455,2.2275,0.49005,Wednesday,June,2022
BMK-49520-383,2019-12-03,72233-08665-IP,R-L-0.2,3,Kiri Avramow,No email,+1 (903) 801-9492,2443 Bluejay Alley,Tyler,US,75799,Yes,True,Rob,L,0.2,3.585,1.7925,0.2151,Tuesday,December,2019
BMM-86471-923,2020-10-22,76319-80715-II,L-D-2.5,1,Dallas Yarham,dyarhaml3@moonfruit.com,+1 (816) 213-5248,689 8th Hill,Independence,US,64054,Yes,True,Lib,D,2.5,29.785,1.1914,3.87205,Thursday,October,2020
BNQ-88920-567,2019-12-30,27226-53717-SY,L-D-0.2,6,Ilka Gurnee,igurnee5z@usnews.com,+1 (801) 642-0352,1 Troy Circle,Salt Lake City,US,84120,No,True,Lib,D,0.2,3.885,1.9425,0.50505,Monday,December,2019
BNZ-20544-633,2020-10-21,31798-95707-NR,L-L-0.5,4,Gothart Bamfield,gbamfieldae@yellowpages.com,+1 (214) 200-7886,41203 Vernon Street,Irving,US,75037,Yes,True,Lib,L,0.5,9.51,1.902,1.2363,Wednesday,October,2020
BOR-02906-411,2021-10-17,08743-09057-OO,L-D-2.5,6,Tallie felip,tfelip5m@typepad.com,+1 (518) 651-0940,9 Roth Point,Albany,US,12205,Yes,True,Lib,D,2.5,29.785,1.1914,3.87205,Sunday,October,2021
BPC-54727-307,2019-12-21,18684-73088-YL,R-L-1,4,Gaspar McGavin,gmcgavinhl@histats.com,+1 (570) 745-7589,573 Anhalt Park,Wilkes Barre,US,18706,No,True,Rob,L,1.0,11.95,1.195,0.717,Saturday,December,2019
BPG-68988-842,2019-02-21,53631-24432-SY,E-M-0.5,5,Irvine Phillpot,iphillpoten@buzzfeed.com,+44 (610) 826-3107,07208 Eastlawn Drive,Wootton,UK,NN4,No,True,Exc,M,0.5,8.25,1.65,0.9075,Thursday,February,2019
BPT-83989-157,2021-10-27,84269-49816-ML,A-M-2.5,2,Portie Cutchie,pcutchie6e@globo.com,+1 (336) 679-7755,5 Esch Parkway,Greensboro,US,27499,No,True,Ara,M,2.5,25.875,1.035,2.32875,Wednesday,October,2021
BPZ-51283-916,2021-08-29,87688-42420-TO,A-M-2.5,2,Kylie Mowat,No email,+1 (206) 275-3973,06512 Shopko Court,Milwaukee,US,53285,No,True,Ara,M,2.5,25.875,1.035,2.32875,Sunday,August,2021
BQI-61647-496,2021-06-13,84340-73931-VV,E-M-1,5,Connor Heaviside,cheaviside6z@rediff.com,+1 (602) 260-2399,941 Graceland Terrace,Phoenix,US,85099,Yes,True,Exc,M,1.0,13.75,1.375,1.5125,Sunday,June,2021
BQJ-44755-910,2020-02-28,75006-89922-VW,E-D-2.5,6,Murielle Lorinez,mlorineznh@whitehouse.gov,No phone number,029 Bluejay Circle,Evansville,US,47732,No,False,Exc,D,2.5,27.945,1.1178,3.07395,Friday,February,2020
BQK-38412-229,2019-12-13,90392-73338-BC,R-L-0.2,3,Natal Vigrass,nvigrasski@ezinearticles.com,+44 (336) 257-7415,1375 Parkside Junction,Whitwell,UK,DL10,No,True,Rob,L,0.2,3.585,1.7925,0.2151,Friday,December,2019
BRB-40903-533,2022-06-15,09020-56774-GU,E-L-0.2,3,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,+1 (413) 691-2892,61022 Helena Street,Springfield,US,1105,Yes,True,Exc,L,0.2,4.455,2.2275,0.49005,Wednesday,June,2022
BRJ-19414-277,2019-09-17,16809-16936-WF,R-M-0.2,4,Modesty MacConnechie,mmacconnechieo9@reuters.com,+1 (304) 620-6008,526 Onsgard Park,Charleston,US,25362,Yes,True,Rob,M,0.2,2.985,1.4925,0.1791,Tuesday,September,2019
BRV-64870-915,2019-04-16,32070-55528-UG,L-L-2.5,5,Samuele Ales0,No email,No phone number,0023 Westport Terrace,Ballinroad,IR,D07,No,False,Lib,L,2.5,36.455,1.4582,4.73915,Tuesday,April,2019
BVU-77367-451,2020-10-20,77421-46059-RY,A-D-1,5,Borg Daile,bdailecu@vistaprint.com,+1 (770) 330-7785,385 Corben Parkway,Atlanta,US,31119,Yes,True,Ara,D,1.0,9.95,0.995,0.8955,Tuesday,October,2020
BWK-39400-446,2019-09-12,61302-06948-EH,L-D-0.5,4,Fleur Parres,fparresb1@imageshack.us,+1 (585) 672-4256,641 Steensland Pass,Rochester,US,14609,Yes,True,Lib,D,0.5,7.77,1.554,1.0101,Thursday,September,2019
BWR-85735-955,2019-12-14,32638-38620-AX,L-M-1,3,Burnard Bartholin,bbartholin59@xinhuanet.com,+1 (918) 720-2715,19600 Scofield Trail,Tulsa,US,74103,Yes,True,Lib,M,1.0,14.55,1.455,1.8915,Saturday,December,2019
BWZ-46364-547,2021-09-09,64918-67725-MN,R-L-1,3,Yardley Basill,ybasillht@theguardian.com,+1 (412) 297-2806,10675 Loomis Place,Pittsburgh,US,15255,Yes,True,Rob,L,1.0,11.95,1.195,0.717,Thursday,September,2021
BXH-62195-013,2021-11-11,94526-79230-GZ,A-M-1,4,Mindy Bogey,mbogeypb@thetimes.co.uk,+1 (202) 479-4238,7791 Westend Point,Washington,US,20226,Yes,True,Ara,M,1.0,11.25,1.125,1.0125,Thursday,November,2021
BXN-64230-789,2020-12-19,25598-77476-CB,A-L-1,2,Diane-marie Wincer,dwincere2@marriott.com,+1 (915) 676-6367,04 Stuart Way,El Paso,US,88546,Yes,True,Ara,L,1.0,12.95,1.295,1.1655,Saturday,December,2020
BYP-16005-016,2021-08-01,01474-63436-TP,R-M-2.5,5,Read Cutts,rcuttspy@techcrunch.com,+1 (815) 758-8653,820 Reinke Pass,Rockford,US,61105,No,True,Rob,M,2.5,22.885,0.9154,1.3731,Sunday,August,2021
BYU-58154-603,2020-12-17,51971-70393-QM,E-D-0.5,4,Claiborne Feye,cfeye4k@google.co.jp,+353 (471) 184-7815,601 Northridge Circle,Castlebridge,IR,R14,No,True,Exc,D,0.5,7.29,1.458,0.8019,Thursday,December,2020
BYZ-39669-954,2020-07-18,66408-53777-VE,L-L-2.5,1,Lyndsey Megany,No email,+1 (716) 790-4379,7536 Homewood Place,Buffalo,US,14276,No,True,Lib,L,2.5,36.455,1.4582,4.73915,Saturday,July,2020
BZE-96093-118,2021-10-19,43452-18035-DH,L-M-0.2,2,Alva Filipczak,afilipczaklh@ning.com,+353 (176) 447-3656,4847 Vera Crossing,Moycullen,IR,A41,No,True,Lib,M,0.2,4.365,2.1825,0.56745,Tuesday,October,2021
BZP-33213-637,2020-05-05,77175-09826-SF,A-M-2.5,3,Lindon Agnolo,lagnolooj@pinterest.com,+1 (918) 228-6949,82499 Mallard Lane,Tulsa,US,74108,Yes,True,Ara,M,2.5,25.875,1.035,2.32875,Tuesday,May,2020
CBT-15092-420,2019-12-17,71364-35210-HS,L-M-0.5,1,Wain Cholomin,wcholomince@about.com,+44 (512) 340-9049,566 Arrowood Way,Birmingham,UK,B12,Yes,True,Lib,M,0.5,8.73,1.746,1.1349,Tuesday,December,2019
CBT-55781-720,2021-11-15,97855-54761-IS,E-D-0.5,3,Dottie Tift,dtift4i@netvibes.com,+1 (336) 766-8518,581 Forest Run Avenue,Greensboro,US,27415,Yes,True,Exc,D,0.5,7.29,1.458,0.8019,Monday,November,2021
CCZ-19589-212,2021-03-27,05754-41702-FG,L-M-0.2,2,Kristos Streight,kstreight6d@about.com,+1 (570) 873-3891,5 Anderson Court,Wilkes Barre,US,18706,No,True,Lib,M,0.2,4.365,2.1825,0.56745,Saturday,March,2021
CFZ-53492-600,2022-03-14,64896-18468-BT,L-M-0.2,1,Selle Scurrer,sscurrerk9@flavors.me,+44 (520) 402-1303,99 Mariners Cove Trail,Upton,UK,DN21,No,True,Lib,M,0.2,4.365,2.1825,0.56745,Monday,March,2022
CGO-79583-871,2019-03-04,37182-54930-XC,E-D-0.5,1,Wesley Giorgioni,wgiorgioni9g@wikipedia.org,+1 (415) 960-7198,45 Trailsway Avenue,San Francisco,US,94132,Yes,True,Exc,D,0.5,7.29,1.458,0.8019,Monday,March,2019
CHE-78995-767,2022-08-02,00888-74814-UZ,A-D-0.5,3,Theresita Newbury,tnewburys@usda.gov,+353 (803) 587-0026,79526 Bultman Lane,Clonskeagh,IR,D04,No,True,Ara,D,0.5,5.97,1.194,0.5373,Tuesday,August,2022
CIX-22904-641,2019-09-17,78012-56878-UB,R-M-1,1,Grazia Oats,goatsny@live.com,+1 (213) 813-1072,7552 Dottie Road,Los Angeles,US,90030,Yes,True,Rob,M,1.0,9.95,0.995,0.597,Tuesday,September,2019
CKF-43291-846,2020-03-10,91829-99544-DS,E-L-2.5,1,Odille Thynne,othynne4w@auda.org.au,+1 (562) 132-7323,26 Oakridge Way,Whittier,US,90605,Yes,True,Exc,L,2.5,34.155,1.3662,3.75705,Tuesday,March,2020
CKS-47815-571,2021-11-02,45666-86771-EH,L-L-0.5,3,Ardith Chill,achillhz@epa.gov,+44 (411) 344-1320,677 Bartillon Avenue,Thorpe,UK,BD23,Yes,True,Lib,L,0.5,9.51,1.902,1.2363,Tuesday,November,2021
CLJ-23403-689,2021-04-03,19413-02045-CG,R-L-1,2,Jammie Cloke,No email,+44 (540) 353-5754,844 Lawn Drive,Newton,UK,NG34,No,True,Rob,L,1.0,11.95,1.195,0.717,Saturday,April,2021
CNJ-56058-223,2020-08-11,40780-22081-LX,L-L-0.5,3,Alberta Balsdone,abalsdonemi@toplist.cz,+1 (863) 490-5370,3 Kings Plaza,Largo,US,34643,No,True,Lib,L,0.5,9.51,1.902,1.2363,Tuesday,August,2020
CNY-06284-066,2021-06-26,63985-64148-MG,E-D-0.2,5,Donica Bonhome,dbonhome8z@shinystat.com,+1 (865) 238-4985,73509 Victoria Junction,Knoxville,US,37924,Yes,True,Exc,D,0.2,3.645,1.8225,0.40095,Saturday,June,2021
COL-72079-610,2020-12-09,38487-01549-MV,E-L-0.5,4,Godfry Poinsett,gpoinsett61@berkeley.edu,+1 (626) 451-7397,75026 Monica Parkway,Pasadena,US,91131,No,True,Exc,L,0.5,8.91,1.782,0.9801,Wednesday,December,2020
COV-52659-202,2021-02-12,99899-54612-NX,L-M-2.5,2,Reggie Thickpenny,rthickpennyfz@cafepress.com,+1 (213) 234-9242,791 School Center,Los Angeles,US,90035,No,True,Lib,M,2.5,33.465,1.3386,4.35045,Friday,February,2021
CPV-90280-133,2019-03-20,66458-91190-YC,R-D-0.2,3,Marja Urion,murione5@alexa.com,+353 (715) 989-0283,2 Sycamore Avenue,Virginia,IR,D18,Yes,True,Rob,D,0.2,2.685,1.3425,0.1611,Wednesday,March,2019
CPW-34587-459,2021-03-26,84641-67384-TD,A-L-2.5,6,Milty Middis,mmiddisiu@dmoz.org,+1 (316) 736-9645,8 Schiller Point,Wichita,US,67260,Yes,True,Ara,L,2.5,29.785,1.1914,2.68065,Friday,March,2021
CPX-19312-088,2020-07-31,38387-64959-WW,L-M-0.5,6,Franny Kienlein,fkienleindi@trellian.com,+353 (972) 241-3434,1 Manitowish Pass,Coolock,IR,D17,Yes,True,Lib,M,0.5,8.73,1.746,1.1349,Friday,July,2020
CPX-46916-770,2021-08-27,12729-50170-JE,R-L-1,6,Zachariah Carlson,zcarlson7k@bigcartel.com,+353 (259) 651-4128,4825 Bowman Crossing,Shankill,IR,A98,Yes,True,Rob,L,1.0,11.95,1.195,0.717,Friday,August,2021
CQM-49696-263,2019-10-25,76534-45229-SG,L-L-2.5,3,Sheppard Yann,syann29@senate.gov,+1 (719) 803-5276,4 Farmco Place,Colorado Springs,US,80930,Yes,True,Lib,L,2.5,36.455,1.4582,4.73915,Friday,October,2019
CQW-37388-302,2019-07-03,97741-98924-KT,A-D-2.5,3,Willabella Harvison,wharvisonjx@gizmodo.com,+1 (610) 316-8430,0 Sachs Way,Philadelphia,US,19104,No,True,Ara,D,2.5,22.885,0.9154,2.05965,Wednesday,July,2019
CRK-07584-240,2021-01-31,18741-72071-PP,A-M-1,3,Ermin Beeble,ebeeble8j@soundcloud.com,+1 (513) 141-9892,14777 Leroy Avenue,Cincinnati,US,45254,Yes,True,Ara,M,1.0,11.25,1.125,1.0125,Sunday,January,2021
CSW-59644-267,2020-02-28,60378-26473-FE,E-M-2.5,1,Benedikta Paumier,bpaumierhp@umn.edu,+353 (777) 856-8236,319 Carioca Alley,Ballisodare,IR,E45,Yes,True,Exc,M,2.5,31.625,1.265,3.47875,Friday,February,2020
CTE-31437-326,2019-01-02,22721-63196-UJ,E-M-0.2,4,Gladi Ducker,gduckerdx@patch.com,+44 (749) 987-9016,5069 Boyd Parkway,Belfast,UK,BT2,No,True,Exc,M,0.2,4.125,2.0625,0.45375,Wednesday,January,2019
CTE-31437-326,2019-01-02,22721-63196-UJ,L-D-1,4,Gladi Ducker,gduckerdx@patch.com,+44 (749) 987-9016,5069 Boyd Parkway,Belfast,UK,BT2,No,True,Lib,D,1.0,12.95,1.295,1.6835,Wednesday,January,2019
CTE-31437-326,2019-01-02,22721-63196-UJ,L-L-0.2,3,Gladi Ducker,gduckerdx@patch.com,+44 (749) 987-9016,5069 Boyd Parkway,Belfast,UK,BT2,No,True,Lib,L,0.2,4.755,2.3775,0.61815,Wednesday,January,2019
CTE-31437-326,2019-01-02,22721-63196-UJ,R-M-0.2,4,Gladi Ducker,gduckerdx@patch.com,+44 (749) 987-9016,5069 Boyd Parkway,Belfast,UK,BT2,No,True,Rob,M,0.2,2.985,1.4925,0.1791,Wednesday,January,2019
CUN-90044-279,2021-01-29,86646-65810-TD,L-D-0.2,4,Kenton Wetherick,No email,+1 (859) 628-7241,6976 Knutson Lane,Lexington,US,40515,Yes,True,Lib,D,0.2,3.885,1.9425,0.50505,Friday,January,2021
