customer_id,customer_name,email,phone_number,address_line_1,city,country,postcode,loyalty_card,PhoneNumberValid
24010-66714-HW,Chrisy Blofeld,cblofeldo@amazon.co.uk,+1 (303) 936-3357,013 Talisman Terrace,Englewood,US,80150,No,True
07591-92789-UA,Culley Farris,No email,+1 (941) 267-4822,4 Mitchell Drive,Punta Gorda,US,33982,Yes,True
49231-44455-IC,Selene Shales,sshalesq@umich.edu,+1 (707) 881-5004,74 Bultman Plaza,Petaluma,US,94975,Yes,True
50124-88608-EO,Vivie Danneil,vdanneilr@mtv.com,+353 (751) 346-0399,5626 Darwin Avenue,Tralee,IR,V92,No,True
00888-74814-UZ,Theresita Newbury,tnewburys@usda.gov,+353 (803) 587-0026,79526 Bultman Lane,Clonskeagh,IR,D04,No,True
14158-30713-OB,Mozelle Calcutt,mcalcuttt@baidu.com,+353 (928) 869-1762,4389 Russell Way,Rathwire,IR,Y25,Yes,True
51427-89175-QJ,Adrian Swaine,No email,+1 (303) 486-9517,95 Straubel Hill,Aurora,US,80044,No,True
52082-49024-ON,Ray Leivesley,rleivesleyv@canalblog.com,+1 (212) 535-7791,91 Stephen Drive,Jamaica,US,11407,No,True
04540-43685-DV,Nelly Basezzi,nbasezziw@webeden.co.uk,+353 (125) 815-7345,923 Mallard Junction,Bailieborough,IR,C15,Yes,True
39123-12846-YJ,Gallard Gatheral,ggatheralx@123-reg.co.uk,No phone number,40 Clemons Place,Grand Forks,US,58207,No,False
44981-99666-XB,Una Welberry,uwelberryy@ebay.co.uk,+44 (392) 503-8132,40915 Schlimgen Park,Upton,UK,DN21,Yes,True
24825-51803-CQ,Faber Eilhart,feilhartz@who.int,+1 (304) 510-6095,6966 Victoria Street,Charleston,US,25362,No,True
77634-13918-GJ,Zorina Ponting,zponting10@altervista.org,+1 (501) 172-1476,7118 Holmberg Court,Little Rock,US,72204,No,True
13694-25001-LX,Silvio Strase,sstrase11@booking.com,+1 (303) 579-8015,5 Forest Lane,Denver,US,80291,No,True
08523-01791-TI,Dorie de la Tremoille,dde12@unesco.org,+1 (612) 492-5160,0817 Dennis Street,Minneapolis,US,55458,No,True
49860-68865-AB,Hy Zanetto,No email,No phone number,469 Paget Place,Tucson,US,85715,Yes,False
21240-83132-SP,Jessica McNess,No email,+1 (504) 545-1478,664 Erie Place,New Orleans,US,70116,No,True
08350-81623-TF,Lorenzo Yeoland,lyeoland15@pbs.org,+1 (860) 576-2887,8510 Merrick Road,Hartford,US,6183,Yes,True
73284-01385-SJ,Abigail Tolworthy,atolworthy16@toplist.cz,+1 (801) 722-4425,74 Shopko Way,Ogden,US,84409,Yes,True
04152-34436-IE,Maurie Bartol,No email,+1 (617) 493-7594,7625 Starling Court,Boston,US,2216,No,True
06631-86965-XP,Olag Baudassi,obaudassi18@seesaa.net,+1 (585) 356-6251,55 Dottie Court,Rochester,US,14604,Yes,True
54619-08558-ZU,Petey Kingsbury,pkingsbury19@comcast.net,+1 (917) 705-8224,28 Loftsgordon Place,Bronx,US,10469,No,True
85589-17020-CX,Donna Baskeyfied,No email,+1 (205) 923-1460,7586 Logan Avenue,Birmingham,US,35205,Yes,True
36078-91009-WU,Arda Curley,acurley1b@hao123.com,+1 (760) 840-3808,45098 Scott Drive,San Bernardino,US,92415,Yes,True
15770-27099-GX,Raynor McGilvary,rmcgilvary1c@tamu.edu,No phone number,496 Rockefeller Court,Norfolk,US,23514,No,False
91460-04823-BX,Isis Pikett,ipikett1d@xinhuanet.com,+1 (202) 871-9039,5892 Hauk Drive,Washington,US,20409,No,True
45089-52817-WN,Inger Bouldon,ibouldon1e@gizmodo.com,+1 (754) 391-4736,925 Barby Circle,Fort Lauderdale,US,33355,No,True
76447-50326-IC,Karry Flanders,kflanders1f@over-blog.com,+353 (467) 720-7274,88 Blue Bill Park Avenue,Crumlin,IR,D6W,Yes,True
26333-67911-OL,Hartley Mattioli,hmattioli1g@webmd.com,No phone number,126 Valley Edge Street,Kinloch,UK,PH43,No,False
40768-49176-BL,Horatio Rubberts,hrubberts1h@google.com.hk,+1 (801) 635-8791,459 Russell Center,Provo,US,84605,No,True
22107-86640-SB,Archambault Gillard,agillard1i@issuu.com,+1 (419) 663-2236,97490 Susan Avenue,Toledo,US,43666,No,True
09960-34242-LZ,Salomo Cushworth,No email,+1 (609) 409-7044,44 Oneill Parkway,Trenton,US,8650,No,True
04671-85591-RT,Theda Grizard,tgrizard1k@odnoklassniki.ru,+1 (813) 243-2150,6 Knutson Pass,Tampa,US,33686,Yes,True
25729-68859-UA,Rozele Relton,rrelton1l@stanford.edu,+1 (850) 626-1181,2484 Reindahl Court,Pensacola,US,32590,No,True
05501-86351-NX,Willa Rolling,No email,+1 (813) 759-3534,3 Mockingbird Plaza,Zephyrhills,US,33543,Yes,True
04521-04300-OK,Stanislaus Gilroy,sgilroy1n@eepurl.com,No phone number,9120 Harbort Terrace,Saint Paul,US,55123,Yes,False
58689-55264-VK,Correy Cottingham,ccottingham1o@wikipedia.org,+1 (260) 764-1820,394 Logan Road,Fort Wayne,US,46862,No,True
79436-73011-MM,Pammi Endacott,No email,+44 (177) 260-5076,5841 Atwood Lane,Wootton,UK,NN4,Yes,True
65552-60476-KY,Nona Linklater,No email,+1 (239) 347-9766,856 Bonner Parkway,Naples,US,34114,Yes,True
69904-02729-YS,Annadiane Dykes,adykes1r@eventbrite.com,+1 (312) 111-6203,31 Northport Terrace,Chicago,US,60681,No,True
01433-04270-AX,Felecia Dodgson,No email,+1 (973) 434-8662,48053 8th Crossing,Newark,US,7104,Yes,True
14204-14186-LA,Angelia Cockrem,acockrem1t@engadget.com,+1 (571) 316-8217,1 Sherman Alley,Vienna,US,22184,Yes,True
32948-34398-HC,Belvia Umpleby,bumpleby1u@soundcloud.com,+1 (682) 627-0888,710 Prairie Rose Terrace,Fort Worth,US,76178,Yes,True
77343-52608-FF,Nat Saleway,nsaleway1v@dedecms.com,+1 (323) 473-0294,0780 Anthes Plaza,Burbank,US,91505,No,True
42770-36274-QA,Hayward Goulter,hgoulter1w@abc.net.au,+1 (423) 764-7751,2081 Mariners Cove Drive,Kingsport,US,37665,No,True
14103-58987-ZU,Gay Rizzello,grizzello1x@symantec.com,+44 (247) 225-8003,21 Schmedeman Crossing,Liverpool,UK,L33,Yes,True
69958-32065-SW,Shannon List,slist1y@mapquest.com,+1 (614) 279-9816,7123 Algoma Center,Columbus,US,43231,No,True
69533-84907-FA,Shirlene Edmondson,sedmondson1z@theguardian.com,+353 (248) 428-7978,4752 International Point,Newmarket on Fergus,IR,P17,No,True
76005-95461-CI,Aurlie McCarl,No email,+1 (504) 209-2724,731 David Park,New Orleans,US,70183,No,True
15395-90855-VB,Alikee Carryer,No email,+1 (704) 799-5219,247 Helena Drive,Charlotte,US,28230,Yes,True
80640-45811-LB,Jennifer Rangall,jrangall22@newsvine.com,+1 (781) 512-6637,0 Grasskamp Lane,Springfield,US,1114,Yes,True
28476-04082-GR,Kipper Boorn,kboorn23@ezinearticles.com,+353 (359) 134-1550,9513 Meadow Ridge Parkway,Listowel,IR,V31,Yes,True
12018-75670-EU,Melania Beadle,No email,+353 (569) 458-9673,4418 Quincy Terrace,Moycullen,IR,A41,Yes,True
86437-17399-FK,Colene Elgey,celgey25@webs.com,+1 (432) 261-0702,45 Marcy Crossing,Midland,US,79705,No,True
62979-53167-ML,Lothaire Mizzi,lmizzi26@rakuten.co.jp,+1 (214) 719-8530,74 Atwood Lane,Dallas,US,75323,Yes,True
54810-81899-HL,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,+1 (571) 703-2064,817 Ridgeway Hill,Dulles,US,20189,No,True
26103-41504-IB,Ami Arnow,aarnow28@arizona.edu,+1 (650) 238-1964,12 Oakridge Court,Oakland,US,94627,Yes,True
76534-45229-SG,Sheppard Yann,syann29@senate.gov,+1 (719) 803-5276,4 Farmco Place,Colorado Springs,US,80930,Yes,True
81744-27332-RR,Bunny Naulls,bnaulls2a@tiny.cc,+353 (809) 128-0755,595 Melby Avenue,Adare,IR,H54,Yes,True
91513-75657-PH,Hally Lorait,No email,+1 (716) 869-3749,80 Jana Avenue,Buffalo,US,14205,Yes,True
30373-66619-CB,Zaccaria Sherewood,zsherewood2c@apache.org,+1 (209) 433-7924,1325 Jay Terrace,Fresno,US,93715,No,True
31582-23562-FM,Jeffrey Dufaire,jdufaire2d@fc2.com,No phone number,8 Buell Junction,Fort Worth,US,76121,No,False
58638-01029-CB,Blancha McAmish,bmcamish2e@tripadvisor.com,No phone number,5484 Stephen Court,Oklahoma City,US,73179,Yes,False
81431-12577-VD,Beitris Keaveney,bkeaveney2f@netlog.com,No phone number,67319 Redwing Parkway,Beaumont,US,77705,No,False
68894-91205-MP,Elna Grise,egrise2g@cargocollective.com,No phone number,92 Becker Circle,Reno,US,89519,No,False
87602-55754-VN,Torie Gottelier,tgottelier2h@vistaprint.com,+1 (816) 743-8492,426 Division Avenue,Kansas City,US,64136,No,True
39181-35745-WH,Loydie Langlais,No email,+353 (576) 222-5069,290 Ilene Street,Crumlin,IR,D6W,Yes,True
30381-64762-NG,Adham Greenhead,agreenhead2j@dailymail.co.uk,+1 (951) 797-0738,0062 Spenser Place,Corona,US,92878,No,True
17503-27693-ZH,Hamish MacSherry,No email,+1 (512) 430-4374,7 Brentwood Plaza,Austin,US,78759,Yes,True
89442-35633-HJ,Else Langcaster,elangcaster2l@spotify.com,+44 (547) 590-3103,3658 Jenna Street,Normanton,UK,LE15,Yes,True
13654-85265-IL,Rudy Farquharson,No email,No phone number,30178 Claremont Road,Charlesland,IR,A63,Yes,False
40946-22090-FP,Norene Magauran,nmagauran2n@51.la,No phone number,567 Artisan Place,Fresno,US,93762,No,False
29050-93691-TS,Vicki Kirdsch,vkirdsch2o@google.fr,No phone number,0263 Golf Street,Saint Louis,US,63150,No,False
64395-74865-WF,Ilysa Whapple,iwhapple2p@com.com,+1 (559) 522-1152,41598 Everett Drive,Fresno,US,93726,No,True
81861-66046-SU,Ruy Cancellieri,No email,+353 (338) 743-8327,251 Welch Parkway,Confey,IR,A86,No,True
13366-78506-KP,Aube Follett,No email,+1 (614) 370-6392,8671 David Park,Columbus,US,43210,Yes,True
08847-29858-HN,Rudiger Di Bartolomeo,No email,+1 (209) 148-6668,7700 Melby Park,Stockton,US,95205,Yes,True
00539-42510-RY,Nickey Youles,nyoules2t@reference.com,+353 (641) 846-7654,12461 Dryden Pass,Edgeworthstown,IR,E25,Yes,True
45190-08727-NV,Dyanna Aizikovitz,daizikovitz2u@answers.com,+353 (766) 141-6317,7 Northland Court,Leixlip,IR,A86,Yes,True
87049-37901-FU,Bram Revel,brevel2v@fastcompany.com,+1 (585) 775-6952,6168 Westend Plaza,Rochester,US,14652,No,True
34015-31593-JC,Emiline Priddis,epriddis2w@nationalgeographic.com,+1 (205) 133-0205,62 Amoth Terrace,Tuscaloosa,US,35487,No,True
90305-50099-SV,Queenie Veel,qveel2x@jugem.jp,+1 (713) 750-9202,378 Shopko Center,Houston,US,77260,Yes,True
55871-61935-MF,Lind Conyers,lconyers2y@twitter.com,+1 (915) 476-5712,778 Summer Ridge Junction,El Paso,US,88514,No,True
15405-60469-TM,Pen Wye,pwye2z@dagondesign.com,+1 (719) 620-1128,7 Dorton Terrace,Colorado Springs,US,80935,Yes,True
06953-94794-FB,Isahella Hagland,No email,+1 (260) 613-2279,07 Roxbury Street,Fort Wayne,US,46862,No,True
22305-40299-CY,Terry Sheryn,tsheryn31@mtv.com,+1 (516) 826-3780,58147 Eagle Crest Court,Port Washington,US,11054,Yes,True
09020-56774-GU,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,+1 (413) 691-2892,61022 Helena Street,Springfield,US,1105,Yes,True
92926-08470-YS,Betty Fominov,bfominov33@yale.edu,No phone number,305 Tennyson Court,Pensacola,US,32575,No,False
07250-63194-JO,Shawnee Critchlow,scritchlow34@un.org,+1 (804) 428-7292,6886 Oxford Hill,Richmond,US,23242,No,True
63787-96257-TQ,Merrel Steptow,msteptow35@earthlink.net,+353 (266) 235-5189,368 Ridgeview Trail,Cherryville,IR,P31,No,True
49530-25460-RW,Carmina Hubbuck,No email,+1 (304) 532-7229,39749 Bobwhite Plaza,Huntington,US,25705,No,True
66508-21373-OQ,Ingeberg Mulliner,imulliner37@pinterest.com,+44 (331) 777-9556,61 Oak Valley Trail,Birmingham,UK,B40,No,True
20203-03950-FY,Geneva Standley,gstandley38@dion.ne.jp,+353 (521) 138-4331,4 Thompson Drive,Killorglin,IR,H14,Yes,True
83895-90735-XH,Brook Drage,bdrage39@youku.com,+1 (937) 566-3449,3584 7th Parkway,Dayton,US,45432,No,True
61954-61462-RJ,Muffin Yallop,myallop3a@fema.gov,+1 (907) 267-1236,1 Beilfuss Junction,Anchorage,US,99507,Yes,True
47939-53158-LS,Cordi Switsur,cswitsur3b@chronoengine.com,+1 (615) 791-3142,57942 North Point,Nashville,US,37215,No,True
38903-46478-ZE,Ezri Hows,ehows3c@devhub.com,+1 (760) 706-9092,343 Burning Wood Court,Los Angeles,US,90040,Yes,True
76841-77583-BJ,Sylas Becaris,sbecaris3d@google.ru,+1 (704) 594-9047,35407 Tomscot Junction,Charlotte,US,28289,No,True
61513-27752-FA,Mahala Ludwell,mludwell3e@blogger.com,+1 (303) 242-3542,6 Bay Center,Denver,US,80217,Yes,True
89714-19856-WX,Doll Beauchamp,dbeauchamp3f@usda.gov,+1 (203) 189-4256,0967 Clemons Alley,Stamford,US,6912,No,True
87979-56781-YV,Stanford Rodliff,srodliff3g@ted.com,+1 (757) 537-3012,3 Lerdahl Parkway,Newport News,US,23605,Yes,True
74126-88836-KA,Stevana Woodham,swoodham3h@businesswire.com,+353 (190) 188-4918,7 Rowland Plaza,Drumcondra,IR,D11,Yes,True
37397-05992-VO,Hewet Synnot,hsynnot3i@about.com,+1 (907) 245-0601,9667 Lunder Court,Anchorage,US,99599,No,True
54904-18397-UD,Raleigh Lepere,rlepere3j@shop-pro.jp,+353 (792) 857-4513,27 Mosinee Court,Beaumont,IR,D17,No,True
19017-95853-EK,Timofei Woofinden,twoofinden3k@businesswire.com,+1 (701) 503-1067,1 Pennsylvania Center,Fargo,US,58122,No,True
88593-59934-VU,Evelina Dacca,edacca3l@google.pl,+1 (812) 921-5458,83150 Dixon Park,Evansville,US,47737,Yes,True
47493-68564-YM,Bidget Tremellier,No email,+353 (900) 633-2359,5 Sunfield Parkway,Cherryville,IR,P31,Yes,True
82246-82543-DW,Bobinette Hindsberg,bhindsberg3n@blogs.com,+1 (704) 888-5303,7 Brickson Park Road,Charlotte,US,28210,Yes,True
03384-62101-IY,Osbert Robins,orobins3o@salon.com,+1 (256) 196-8054,42557 Fallview Plaza,Huntsville,US,35815,Yes,True
86881-41559-OR,Othello Syseland,osyseland3p@independent.co.uk,+1 (714) 895-0210,957 Sachtjen Road,Santa Ana,US,92725,No,True
02536-18494-AQ,Ewell Hanby,No email,No phone number,903 Oak Center,Washington,US,20520,Yes,False
29732-74147-HX,Chalmers Havenhand,chavenhand3r@1688.com,+353 (850) 901-7902,8 Morningstar Plaza,Macroom,IR,P12,No,True
90312-11148-LA,Lowell Keenleyside,lkeenleyside3s@topsy.com,+1 (636) 713-5124,6 Hauk Junction,Saint Louis,US,63131,No,True
68239-74809-TF,Elonore Joliffe,No email,+353 (994) 611-5746,7077 School Crossing,Bailieborough,IR,C15,No,True
91074-60023-IP,Abraham Coleman,No email,+1 (808) 815-5051,40 Packers Alley,Honolulu,US,96805,No,True
07972-83748-JI,Rivy Farington,No email,+1 (951) 638-0879,54400 Brickson Park Center,Corona,US,92878,Yes,True
08694-57330-XR,Vallie Kundt,vkundt3w@bigcartel.com,+353 (472) 791-2507,3 Porter Hill,Ballivor,IR,D17,Yes,True
68412-11126-YJ,Boyd Bett,bbett3x@google.de,+1 (202) 632-9905,353 Maple Wood Avenue,Washington,US,20520,Yes,True
69037-66822-DW,Julio Armytage,No email,No phone number,782 Spaight Center,Portumna,IR,V31,Yes,False
01297-94364-XH,Deana Staite,dstaite3z@scientificamerican.com,+1 (713) 478-3937,39 Dunning Hill,Houston,US,77281,No,True
39919-06540-ZI,Winn Keyse,wkeyse40@apple.com,+1 (650) 947-8867,02688 Duke Park,Orange,US,92668,Yes,True
60512-78550-WS,Osmund Clausen-Thue,oclausenthue41@marriott.com,+1 (915) 558-6109,2163 Dexter Hill,El Paso,US,88553,No,True
40172-12000-AU,Leonore Francisco,lfrancisco42@fema.gov,+1 (775) 346-9758,48757 Bay Parkway,Carson City,US,89714,No,True
42394-07234-AM,Adey Lowseley,alowseley43@timesonline.co.uk,+1 (682) 536-4473,01 Alpine Center,Fort Worth,US,76105,Yes,True
39019-13649-CL,Giacobo Skingle,gskingle44@clickbank.net,+1 (801) 886-5886,61617 Roth Street,Provo,US,84605,Yes,True
12715-05198-QU,Gerard Pirdy,No email,+1 (305) 345-2788,74 Becker Lane,Boca Raton,US,33487,Yes,True
04513-76520-QO,Jacinthe Balsillie,jbalsillie46@princeton.edu,+1 (540) 905-2213,2 Heffernan Center,Roanoke,US,24040,Yes,True
88446-59251-SQ,Quinton Fouracres,No email,+1 (515) 508-1573,53 New Castle Point,Des Moines,US,50369,Yes,True
23779-10274-KN,Bettina Leffek,bleffek48@ning.com,+1 (808) 815-3474,0688 Burning Wood Point,Honolulu,US,96805,Yes,True
57235-92842-DK,Hetti Penson,No email,+1 (754) 664-6126,16 Dottie Point,Fort Lauderdale,US,33345,No,True
75977-30364-AY,Jocko Pray,jpray4a@youtube.com,+1 (215) 771-6504,7764 Thackeray Hill,Philadelphia,US,19172,No,True
12299-30914-NG,Grete Holborn,gholborn4b@ow.ly,+1 (203) 577-5788,124 Sycamore Point,Norwalk,US,6854,Yes,True
59971-35626-YJ,Fielding Keinrat,fkeinrat4c@dailymail.co.uk,+1 (817) 785-7050,99382 Hagan Hill,Arlington,US,76011,Yes,True
15380-76513-PS,Paulo Yea,pyea4d@aol.com,+353 (885) 555-9183,9760 Nelson Lane,Ashford,IR,H12,No,True
73564-98204-EY,Say Risborough,No email,+1 (423) 485-6650,57914 Brentwood Junction,Chattanooga,US,37416,Yes,True
72282-40594-RX,Alexa Sizey,No email,+1 (503) 774-7836,198 Lighthouse Bay Avenue,Portland,US,97296,No,True
17514-94165-RJ,Kari Swede,kswede4g@addthis.com,+1 (405) 535-0273,94 Pleasure Circle,Oklahoma City,US,73135,No,True
56248-75861-JX,Leontine Rubrow,lrubrow4h@microsoft.com,+1 (202) 503-9022,352 Jana Center,Washington,US,20520,No,True
97855-54761-IS,Dottie Tift,dtift4i@netvibes.com,+1 (336) 766-8518,581 Forest Run Avenue,Greensboro,US,27415,Yes,True
96544-91644-IT,Gerardo Schonfeld,gschonfeld4j@oracle.com,+1 (571) 238-0580,60 Spohn Plaza,Alexandria,US,22313,No,True
51971-70393-QM,Claiborne Feye,cfeye4k@google.co.jp,+353 (471) 184-7815,601 Northridge Circle,Castlebridge,IR,R14,No,True
06812-11924-IK,Mina Elstone,No email,+1 (262) 320-1474,6 Manley Plaza,Racine,US,53405,Yes,True
59741-90220-OW,Sherman Mewrcik,No email,+1 (305) 419-8626,44305 Scofield Park,Clearwater,US,34629,Yes,True
62682-27930-PD,Tamarah Fero,tfero4n@comsenz.com,+1 (262) 954-6859,6 Fisk Street,Racine,US,53405,Yes,True
00256-19905-YG,Stanislaus Valsler,No email,+353 (479) 865-9222,95 Southridge Alley,Castlebridge,IR,R14,No,True
38890-22576-UI,Felita Dauney,fdauney4p@sphinn.com,+353 (669) 355-6726,22484 Tomscot Lane,Castlebellingham,IR,Y34,No,True
94573-61802-PH,Serena Earley,searley4q@youku.com,No phone number,66197 Onsgard Place,Craigavon,UK,BT66,No,False
86447-02699-UT,Minny Chamberlayne,mchamberlayne4r@bigcartel.com,+1 (813) 801-0026,1 Ridgeview Place,Tampa,US,33686,Yes,True
51432-27169-KN,Bartholemy Flaherty,bflaherty4s@moonfruit.com,No phone number,045 Jana Place,Eadestown,IR,A86,No,False
43074-00987-PB,Oran Colbeck,ocolbeck4t@sina.com.cn,+1 (334) 441-4420,8984 Moulton Hill,Montgomery,US,36195,No,True
04739-85772-QT,Elysee Sketch,No email,+1 (775) 947-1470,2 Gina Drive,Sparks,US,89436,Yes,True
28279-78469-YW,Ethelda Hobbing,ehobbing4v@nsw.gov.au,+1 (478) 206-7670,1 Debs Place,Macon,US,31205,Yes,True
91829-99544-DS,Odille Thynne,othynne4w@auda.org.au,+1 (562) 132-7323,26 Oakridge Way,Whittier,US,90605,Yes,True
38978-59582-JP,Emlynne Heining,eheining4x@flickr.com,No phone number,439 West Point,Johnson City,US,37605,Yes,False
86504-96610-BH,Katerina Melloi,kmelloi4y@imdb.com,+1 (315) 525-0805,1930 Haas Way,Rochester,US,14614,No,True
75986-98864-EZ,Tiffany Scardafield,No email,+353 (232) 652-5145,69737 Hanover Center,Portarlington,IR,R21,No,True
66776-88682-RG,Abrahan Mussen,amussen50@51.la,+1 (212) 630-8669,22974 Beilfuss Plaza,Brooklyn,US,11254,No,True
33284-98063-SE,Essie Nellies,enellies51@goodreads.com,+1 (617) 519-0419,9 Hallows Trail,Springfield,US,1114,No,True
85851-78384-DM,Anny Mundford,amundford52@nbcnews.com,+1 (434) 738-7279,5097 Mitchell Plaza,Charlottesville,US,22908,No,True
55232-81621-BX,Tory Walas,twalas53@google.ca,+1 (214) 205-7809,2673 Everett Place,Garland,US,75044,No,True
80310-92912-JA,Isa Blazewicz,iblazewicz54@thetimes.co.uk,+1 (612) 683-3450,4646 Graceland Circle,Minneapolis,US,55448,No,True
19821-05175-WZ,Angie Rizzetti,arizzetti55@naver.com,+1 (517) 237-7606,24 Mendota Junction,Lansing,US,48919,Yes,True
01338-83217-GV,Mord Meriet,mmeriet56@noaa.gov,+1 (701) 560-2604,56000 Kedzie Alley,Grand Forks,US,58207,No,True
66044-25298-TA,Lawrence Pratt,lpratt57@netvibes.com,No phone number,57 Monterey Avenue,Anchorage,US,99522,Yes,False
28728-47861-TZ,Astrix Kitchingham,akitchingham58@com.com,+1 (405) 645-2204,716 Shoshone Point,Oklahoma City,US,73129,Yes,True
32638-38620-AX,Burnard Bartholin,bbartholin59@xinhuanet.com,+1 (918) 720-2715,19600 Scofield Trail,Tulsa,US,74103,Yes,True
83163-65741-IH,Madelene Prinn,mprinn5a@usa.gov,+1 (734) 909-6836,39 Dahle Road,Detroit,US,48211,Yes,True
89422-58281-FD,Alisun Baudino,abaudino5b@netvibes.com,+1 (202) 328-7869,07 Charing Cross Circle,Washington,US,20436,Yes,True
76293-30918-DQ,Philipa Petrushanko,ppetrushanko5c@blinklist.com,+353 (540) 480-2145,08 Laurel Trail,Nenagh,IR,E45,Yes,True
86779-84838-EJ,Kimberli Mustchin,No email,+1 (602) 411-5038,0043 Arkansas Court,Mesa,US,85215,No,True
66806-41795-MX,Emlynne Laird,elaird5e@bing.com,+1 (330) 112-0053,43451 Doe Crossing Trail,Warren,US,44485,No,True
64875-71224-UI,Marlena Howsden,mhowsden5f@infoseek.co.jp,+1 (901) 806-9640,0410 Autumn Leaf Drive,Memphis,US,38150,No,True
16982-35708-BZ,Nealson Cuttler,ncuttler5g@parallels.com,No phone number,1 Melvin Circle,Washington,US,20535,No,False
62425-26461-RK,Crin Vernham,cvernham5h@e-recht24.de,+353 (807) 911-7640,96312 Michigan Parkway,Muff,IR,R32,Yes,True
71468-76923-BU,Jenn Munnings,jmunnings5i@springer.com,+1 (305) 802-3100,7 Merchant Point,Pompano Beach,US,33064,No,True
23014-48364-QB,Olympie Dautry,odautry5j@etsy.com,+1 (773) 841-1261,9015 Anzinger Point,Chicago,US,60604,No,True
92588-14671-JM,Ingaborg Dunwoody,idunwoody5k@sourceforge.net,+44 (389) 895-0886,687 Ruskin Center,East End,UK,BH21,No,True
66708-26678-QK,Adriana Lazarus,No email,+1 (801) 581-0444,9429 Porter Circle,Ogden,US,84409,No,True
08743-09057-OO,Tallie felip,tfelip5m@typepad.com,+1 (518) 651-0940,9 Roth Point,Albany,US,12205,Yes,True
37490-01572-JW,Vanna Le - Count,vle5n@disqus.com,+1 (864) 694-6658,69128 Ronald Regan Road,Spartanburg,US,29305,No,True
01811-60350-CU,Sarette Ducarel,No email,+1 (914) 915-4328,04922 Colorado Street,Staten Island,US,10310,No,True
24766-58139-GT,Kendra Glison,No email,+1 (202) 137-6867,1 Kipling Lane,Washington,US,20337,Yes,True
